NOMBRE;CEDULA;ESPECIALIDAD;HORARIO;TELEFONO;CORREO
Alejandro Mendez Mendez;4414169;Cardiología;Lunes-Miercoles-Viernes 8:00 a.m. a 7:00 p.m.;310 8354043;Alejandro Mendez Mendez@citmed.com
Arnulfo Carrera García;9859830;Hematología ;Todos los dias 11:00 a.m. a 7:00 p.m.;314 7313093;Arnulfo Carrera García@citmed.com
Bernardo López;1002632848;Medicina espacial;Todos los dias 8:30 a.m.  a 5:30 p.m;317 4008716;Bernardo López@citmed.com
Carlos Cetino Ruiz;1002634002;Medicina intensiva;Lunes-Miercoles-Viernes 8:00 a.m. a 7:00 p.m.;312 8024518;Carlos Cetino Ruiz@citmed.com
Carlos Crispín Aliñado Asturias;30239947;Neurología;Todos los dias 8:30 a.m.  a 5:30 p.m;310 6239527;Carlos Crispín Aliñado Asturias@citmed.com
César Augusto Noriega Morales;16077704;Pediatría;Todos los dias 11:00 a.m. a 7:00 p.m.;300 7035680;César Augusto Noriega Morales@citmed.com
Edgar Raúl Culajay;1007322443;Endocrinología;Martes-Jueves 8:00 a.m. a 7:00 p.m.;316 5269241;Edgar Raúl Culajay@citmed.com
Eliza Pirír Sabán;75091491;Gineco obstetricia;Todos los dias 8:30 a.m.  a 5:30 p.m;301 7218420;Eliza Pirír Sabán@citmed.com
Fermina Chajón Soto;87069712;Cirugía;Lunes-Miercoles-Viernes 8:00 a.m. a 7:00 p.m.;316 2653877;Fermina Chajón Soto@citmed.com
Héctor Leónidas Revolorio Quevedo;94433445;Pediatría;Todos los dias 8:30 a.m.  a 5:30 p.m;318 7073994;Héctor Leónidas Revolorio Quevedo@citmed.com
Hugo Leonel López Villacorta;1053776140;Cardiología;Martes-Jueves-Domingo 8:00 a.m. a 7:00 p.m.;314 7001730;Hugo Leonel López Villacorta@citmed.com
José Muchuch Chutá;1053782425;Medicina espacial;Todos los dias 11:00 a.m. a 7:00 p.m.;311 7001709;José Muchuch Chutá@citmed.com
Manuel Encarnación Alarcón;1002543541;Cirugía;Todos los dias 8:30 a.m.  a 5:30 p.m;315 6837110;Manuel Encarnación Alarcón@citmed.com
Marco Tulio Soto Juárez;1002547372;Pediatría;Lunes-Miercoles-Viernes 8:00 a.m. a 7:00 p.m.;301 2938297;Marco Tulio Soto Juárez@citmed.com
María Inés Vásquez;1193524007;Gastroenterología;Todos los dias 8:30 a.m.  a 5:30 p.m;314 2077661;María Inés Vásquez@citmed.com
Mario Anibal Alemán Galindo;1225089344;Infectología;Todos los dias 9:00 a.m. a 8:00p.m.;350 8062337;Mario Anibal Alemán Galindo@citmed.com
Mario Izariel Villatoro;1088332181;Neumología;Todos los dias 8:30 a.m.  a 5:30 p.m;320 5260388;Mario Izariel Villatoro@citmed.com
Nancy Beatriz Calderón Muller;1058845841;Pediatría;Martes-Jueves 8:00 a.m. a 7:00 p.m.;313 5032277;Nancy Beatriz Calderón Muller@citmed.com
Octaviano Camey Ramírez;1053840392;Radiología;Todos los dias 8:30 a.m.  a 5:30 p.m; 317 8402705;Octaviano Camey Ramírez@citmed.com
Osman Rosales Arias;1053855782;Cirugía;Todos los dias 11:00 a.m. a 7:00 p.m.;322 8501623;Osman Rosales Arias@citmed.com
